track_name,track_id,track_popularity,playlist_id,playlist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_artist,language,emotion
Get The Funk Out Ma Face,00PLtXXER1XcTRZvs3LioS,49,1S7BckuYIkEazeNKOSM0uA,r&b,0.88,0.57,2,-13.145,1,0.0821,0.292,0.0388,0.0674,0.791,106.035,The Brothers Johnson,en,1
Ooh,00ppj2gGs8oxhGnTdejkzD,39,37i9dQZF1DX1OIMC8iDi74,rap,0.59,0.965,4,-1.787,1,0.0548,0.0147,0.163,0.12,0.386,148.167,SAYMYNAME,en,3
La Vida Es Una (feat. Pitbull),00PXizG9xlUNINeqADlh96,32,3hR2R6szlkwZeGyclTgHcF,latin,0.742,0.921,9,-3.661,1,0.211,0.00409,0,0.215,0.604,126.04,Lil Jon,es,1
Juke Box Hero,00qOE7OjRl0BpYiCiweZB2,67,6jAPdgY9XmxC9cgkXAVmVv,pop,0.357,0.653,9,-5.554,1,0.0654,0.0828,0,0.0844,0.522,176.647,Foreigner,en,4
We Own It (Fast & Furious),00QyLmjxaSEE8qIZQjBXBj,59,1Z1gW89x4MSBjkvVjGg7DQ,rap,0.554,0.899,8,-4.573,1,0.408,0.0521,0,0.0568,0.552,171.966,2 Chainz,en,7
Ain't No Future In Yo' Frontin',00ReeHCY0FQUyuAUyPJdnk,48,0VVH2Nzj6kBVGK3WIUQMAw,rap,0.672,0.761,0,-9.644,1,0.248,0.0514,0,0.474,0.731,102.192,MC Breed,en,4
La rebelion,00Ro1lnV3V6i87aY4t8Q43,68,37i9dQZF1DWYey22ryYM8U,latin,0.571,0.755,1,-7.907,1,0.0735,0.142,2.55E-05,0.136,0.875,107.951,Joe Arroyo,es,1
It's You - Radio Edit,00S35gEf40z03JTJgvQMqi,51,0cuHKz65ZPqBX1brG8djlg,pop,0.646,0.831,10,-4.164,1,0.0523,0.11,1.04E-05,0.134,0.486,127.957,Syn Cole,en,5
Bongo Bong,00SmB7n85SKROGjybsyq5i,66,2v41efarffe6iY8qpMK5Gj,latin,0.755,0.545,9,-10.027,0,0.0646,0.944,1.18E-04,0.144,0.964,149.807,Manu Chao,en,6
It Won't Stop (feat. Chris Brown) - Julian Calor Remix,00UpV14MDfk4CvrMbFvqji,0,6jI1gFr6ANFtT8MmTvA2Ux,edm,0.627,0.832,6,-5.525,0,0.0478,0.00939,0.00305,0.115,0.216,128.025,Sevyn Streeter,en,6
Full Moon,00vHOSgvVfyLzhlTZIJo1m,49,37i9dQZF1DWUXxc8Mc6MmJ,edm,0.589,0.945,7,-2.112,1,0.113,0.186,0,0.381,0.248,94.964,DREAMCATCHER,et,1
Hot,00WIXhVVhswHuS6dlkScuw,51,2Z5cPJ6Z4EVZAfF08amjvL,pop,0.607,0.908,7,-3.883,1,0.107,0.00297,1.61E-06,0.12,0.664,168.015,Confetti,en,1
BenÃ©,00X2yv2vrtritPt2CZnUTZ,62,0UXwwVDipbBQeEX7h4YuKU,r&b,0.784,0.7,7,-7.649,0,0.108,0.491,0,0.108,0.769,82.028,PNL,fr,6
Shine - Kygo Remix,00YeYHw6zhoy1y7EPTgIkj,48,4NlAd9NpIa92IjErMyAriM,pop,0.703,0.599,4,-8.687,1,0.138,0.402,5.72E-04,0.243,0.312,112.017,Benjamin Francis Leftwich,en,1
Don't Let It Break Your Heart - Single Edit,00Z0GIRi0l7WqQnQJCo5S2,75,10FCW9lj0NdeoYI5VVvVtY,pop,0.362,0.708,10,-4.046,1,0.0672,0.0226,0,0.0873,0.513,166.31,Louis Tomlinson,en,5
Been A While,011gUcrvLDn2gEApOdOhVe,2,4NlAd9NpIa92IjErMyAriM,pop,0.779,0.695,1,-6.064,0,0.031,0.425,7.69E-04,0.107,0.392,120.004,Sam Feldt,en,1
Santa Claus Is Coming To Town,012mGdSYIBEmERuScm2iOl,28,6FZYc2BvF7tColxO8PBShV,r&b,0.691,0.66,5,-8.161,1,0.0354,0.18,2.66E-04,0.174,0.94,146.78,The Jackson 5,en,1
Dancing On My Own - TiÃ«sto Remix,014J7jX1wSv0manSdRnveo,9,0cvVad4XizGbOS0vlwZYS5,edm,0.608,0.648,1,-5.569,1,0.036,0.0194,0.00104,0.0897,0.114,121.96,Calum Scott,en,2
Phenomenal,014V6u9VubefjaPPl1QkTJ,1,39IFMVQdRNdb7kVfyTvHjM,rap,0.64,0.841,1,-2.426,0,0.0466,0.153,0,0.0457,0.0471,121.075,Eminem,en,9
Get Get Down - Radio Edit,01auWCuHXubb8KPZ0IXF4S,37,7fRlDx99wBg6i45OCvxwKY,edm,0.601,0.933,11,-4.087,0,0.0764,0.00724,0.0134,0.468,0.332,128.032,Merk & Kremont,pl,1
Beautiful Life,01Bw3xiZ5PQfn0btMWICaQ,30,37i9dQZF1DX1bDvyV0IkZ3,latin,0.732,0.52,2,-6.684,0,0.0376,0.127,0.0347,0.139,0.339,119.979,Lost Frequencies,en,5
Suave,01bWQ4TPGmsP6FS64nF4R9,49,1d0fonZHpN4LYHTKbmNRbm,latin,0.793,0.744,1,-3.966,0,0.0993,0.00901,0.0204,0.258,0.718,98.001,Tabitha,nl,1
Pegao,01BXNQilWpOZxGLU9c12Iy,38,42E6uFhL4e2nXmbmeigwXb,latin,0.792,0.816,3,-4.751,1,0.254,0.51,0,0.356,0.809,96.038,Wisin & Yandel,es,1
Try,01DSvNTUsVROjnSF5j3UbD,10,6a66cg3HcsjYkisYyQcov6,latin,0.673,0.629,2,-7.072,1,0.0299,0.00141,0,0.0944,0.551,103.998,P!nk,en,5
Not To Much - Remastered 2016,01FBBpA6WBl3arX7pxTFwO,44,37i9dQZF1DWYBUdckfg1va,latin,0.752,0.726,1,-4.59,0,0.0564,0.0197,0,0.203,0.261,92.004,Don Omar,es,7
Funky Friday,01IQ4aQgOf0Kkq3a273hmO,72,37i9dQZF1DX76t638V6CA8,rap,0.975,0.535,1,-7.227,1,0.196,0.0783,0,0.107,0.671,125.066,Dave,en,2
First Love,01iyINEYgPQ7ThMZuHUsqS,58,37i9dQZF1DWZQaaqNMbbXa,pop,0.619,0.938,5,-5.245,1,0.35,0.0257,1.39E-05,0.128,0.601,94.38,Lost Kings,en,5
Alone,01kmEgrTZAGvJNicVB7laT,64,7kzKtw5vug3IIxKfLadi8A,rap,0.742,0.355,2,-15.506,1,0.0814,0.654,0.703,0.384,0.037,120.018,Lund,en,2
Now That We're Dead,01LODLnhlfNphZ366BqKc0,50,6kXNv8J3HCYztxjOIUzApv,rock,0.566,0.951,2,-3.591,1,0.0464,1.01E-04,0.103,0.266,0.345,128.304,Metallica,en,9
Love Sosa,01Lr5YepbgjXAWR9iOEyH1,64,3DUkl93JjPdOyX83SJr5ms,rap,0.772,0.413,0,-8.193,0,0.089,0.0361,0,0.111,0.211,131.965,Chief Keef,en,7
Mama Knew Love,01M4Wng6jF5uoNEHLl2OIn,41,0DIwi1dMI59NItQtiNcevy,r&b,0.635,0.695,11,-4.403,1,0.314,0.212,0,0.298,0.766,79.232,Anthony Hamilton,en,3
GenerÃ©,01nV5tQ4pCpKIIJ3AVxKdv,46,37i9dQZF1DWVFZbCNivv6B,rap,0.743,0.565,9,-10.454,1,0.324,0.778,1.74E-04,0.298,0.753,88.041,Bipo Montana,es,3
Girlfriend in a Coma - 2011 Remaster,01q4ccXbvPlCwZ1fPiFaeM,56,7rPsfDTqiZYIT4PVzQ4c0c,rock,0.68,0.626,7,-8.519,1,0.0255,0.126,1.30E-06,0.0995,0.96,104.333,The Smiths,en,1
Did It Again,01Qb6dN5suQNu87VJ1mIpf,41,7kzKtw5vug3IIxKfLadi8A,rap,0.699,0.575,1,-9.922,1,0.159,0.218,0,0.112,0.234,148.767,Lil Tecca,en,3
I'll Be All You'll Ever Need,01QhVHvkGqzO861Kl3GhfX,27,1oReEujyWpQv2OX68BVPPA,latin,0.72,0.814,8,-8.195,0,0.0546,0.00794,2.90E-04,0.0619,0.77,123.551,Trinere,en,5
Talk Dirty To Me,01R0Xdwje645C6xFCnMRvm,54,3Ho3iO0iJykgEQNbjB2sic,rock,0.507,0.804,11,-13.267,1,0.044,0.0211,0.00248,0.381,0.708,157.996,Poison,en,1
Goodbye Love,01TzbTwZ9Mce9mOeBpH03i,45,4mciQwEuqaUMwIWKcDMFW0,r&b,0.68,0.381,5,-16.646,0,0.0291,0.112,0,0.0316,0.701,82.186,Guy,en,2
Morph,01vv2AjxgP4uUyb8waYO5Y,70,2Z5cPJ6Z4EVZAfF08amjvL,pop,0.734,0.607,8,-7.249,0,0.0806,0.0747,5.77E-04,0.0968,0.518,90.023,Twenty One Pilots,en,8
50 Vezes - Ao Vivo,01wavOnjFBNgdMWBFYIAP4,73,5HmZtuuIDMtIy21kylqhx6,edm,0.557,0.657,7,-6.428,1,0.0277,0.822,1.54E-06,0.952,0.574,147.872,Sorriso Maroto,pt,1
Harlem Shake,01XFgRZfZI7oBagNf1Loml,62,5aPwKjwNHr6dnCejLcPTVx,rap,0.452,0.794,0,-5.151,1,0.0483,0.0111,0.00182,0.416,0.282,137.825,Baauer,en,1
Always Gonna Say Sorry,020mPSviVz90DTlyfxofDJ,1,7CEEEMKV41x0RlFCXWdvKF,edm,0.531,0.63,2,-5.677,1,0.0433,0.216,0,0.054,0.328,77.353,Joakim Molitor,en,5
SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),020wG4EHTwBy5h2rbpxqvK,78,37i9dQZF1DWXU2naFUn37x,rap,0.656,0.661,9,-5.888,1,0.0602,0.0686,0,0.125,0.509,140.956,Marracash,it,5
Rattle Your Cage,02138lFv3Bzncr6ScNbLAF,44,6oghIlByD49KFGNmNU8GSH,rock,0.583,0.565,1,-8.318,1,0.123,0.027,0,0.0908,0.498,179.874,Skrizzly Adams,en,8
Cheerleader - Felix Jaehn Remix Radio Edit,023OVLNzXhX0j7CxswUt6D,67,6a66cg3HcsjYkisYyQcov6,latin,0.78,0.68,4,-6.081,1,0.0305,0.141,1.20E-05,0.138,0.594,118.026,OMI,en,1
Why Don't You Get A Job,027h5P3kCyktHv9dpHUBBS,8,4PjiT7SWnUsTTTvKOuR76f,rock,0.767,0.876,5,-4.435,1,0.0757,0.0812,1.36E-06,0.337,0.595,107.915,The Offspring,en,10
On the Back of Your Neck,027VSEVC8RRjUXLEJAzhH6,49,5qFXOOxrQVyS4UCq3UilZN,pop,0.676,0.788,9,-4.596,0,0.0428,0.1,0.254,0.326,0.688,123.018,Cienfue,en,6
WhatWasThat,02803el8p3mKqcJzJ3Agpp,0,19WuHd4MxWLzE1fpMmw4S4,rap,0.722,0.519,0,-12.871,1,0.0516,0.0253,0.0114,0.189,0.128,99.987,BONES,en,9
Heartless (feat. Mustard),028JxheELfIvvY4zBXuMjw,76,5WNUX6jisX0NRlVDTm6RDd,r&b,0.776,0.64,7,-8.058,1,0.183,0.15,0,0.0983,0.326,160.038,Polo G,en,8
Say My Name,029QP3fFtLaW9B9RKr8DAg,54,37i9dQZF1DWT5MrZnPU1zD,rap,0.798,0.553,10,-6.296,0,0.348,0.102,0,0.113,0.158,144.052,Lil Yachty,en,7
Paint My Love - 2014 Remastered Version,02AT1Z0nscuElXMWBEzEKu,37,22XKr7O6bzSA5bHiwRCPNK,rock,0.584,0.507,9,-8.055,1,0.0243,0.0202,7.83E-06,0.146,0.253,142.019,Michael Learns To Rock,en,6
Hi Life,02BDSCfu9jBYvJ8LkUVttD,42,3R5c1OfJY7Rzl3p28pzGtL,rap,0.663,0.606,5,-7.552,1,0.203,0.579,0,0.217,0.613,79.721,UGK,en,4
This Is Our Time,02bTIMbUm8Zgt0cVAiexE4,57,5qFXOOxrQVyS4UCq3UilZN,pop,0.531,0.724,8,-7.341,1,0.0283,0.0243,0.0515,0.112,0.288,145.022,WILD,en,6
It Runs Through Me,02CygBCQOIyEuhNZqHHcNx,67,6OaTudLqBEuTyUMPxRNpZc,pop,0.802,0.607,11,-11.028,0,0.289,0.205,7.48E-04,0.246,0.274,96.916,Tom Misch,en,1
Nothing Really Matters - Afrojack Remix,02DoXNeIVYvONhTk1fGQrz,52,0cvVad4XizGbOS0vlwZYS5,edm,0.656,0.752,4,-5.622,1,0.0378,0.354,1.10E-05,0.0707,0.477,128.029,Mr. Probz,en,4
Who Are You,02DurCgOvDdX0uKEjqcl3W,12,37i9dQZF1DXdOEFt9ZX0dh,rock,0.653,0.631,9,-11.334,1,0.0461,0.299,0.00265,0.0627,0.516,156.32,The Who,en,1
I Want You To Want Me,02eF5vF3ASltFpWHDVWkdQ,0,29dTrOurPDrMcrnio2q6hZ,rock,0.806,0.462,2,-12.778,1,0.0298,0.78,0.0134,0.15,0.736,92.726,Cheap Trick,en,5
I Heard It Through The Grapevine - Single Version,02gIQlGYI0KVK87Uo9Ekjj,2,1gAeQGQ7hr2q7IYmaejDW6,rock,0.917,0.643,2,-7.962,1,0.0413,0.133,0.00342,0.0569,0.746,117.626,Creedence Clearwater Revival,en,6
Without You - Remastered,02gV5Zc9ctbZxD1uTNIok5,13,1S7BckuYIkEazeNKOSM0uA,r&b,0.453,0.213,4,-13.656,1,0.0279,0.554,3.68E-06,0.0506,0.0955,64.177,Harry Nilsson,en,2
Raise Up,02GwPAncasVL82yC7y2hmN,54,4lcyWQDOzPfcbZrcBI3FOW,rap,0.735,0.844,1,-5.215,1,0.167,0.142,0,0.319,0.742,156.069,Petey Pablo,en,7
Compound,02H05NlKnwFQREf0qu89AL,41,37i9dQZF1DWTggY0yqBxES,rap,0.371,0.196,3,-17.652,1,0.0723,0.97,0,0.234,0.219,66.231,Trellion,en,8
Get the Party Started,02jcEwywffn3Tsb48fXmlW,66,4TvZA7Pml7mHLgbwNomlnm,pop,0.802,0.904,11,-3.267,0,0.0459,0.00108,0,0.173,0.961,128.931,P!nk,en,1
Stray Lines,02jdttpwvUBvKdzHkoL644,48,6mtYuOxzl58vSGnEDtZ9uB,edm,0.694,0.658,7,-8.863,1,0.029,0.364,1.43E-06,0.3,0.584,140.021,Mishaal,en,5
Paloma Negra,02K5IV55wIgNNARk3UA95E,47,1ZlL3IQS8eB0s0RMxz02yD,r&b,0.585,0.036,2,-14.145,1,0.0418,0.859,3.34E-06,0.0908,0.433,151.223,Chavela Vargas,es,3
On Fire,02kdNcUqZRgXwQiYr92gZW,37,4hKPJNFIhdAg4pAksn78FJ,pop,0.486,0.744,7,-6.082,0,0.356,0.0302,6.68E-05,0.0914,0.402,94.965,Carmada,en,5
Tequila,02lGHA7bFFplYLihnUWTx8,77,37i9dQZF1DX1QnNyJOBQBv,latin,0.757,0.688,9,-4.546,1,0.112,0.226,0,0.237,0.704,155.994,Juanes,es,6
Ella Se Fue,02LnwwnaanFpM5dZNArPBb,60,3o3xRXWMtBMezk0E3wmtGI,latin,0.831,0.79,10,-5.322,0,0.0843,0.0386,4.73E-04,0.0708,0.96,93.998,Kinto Sol,es,7
Who Needs You - Remastered 2011,02lvTeAFIIsOd0wVNoRkQ5,39,3E88dLx4fgFYY70gdGzdnB,rock,0.863,0.381,9,-12.823,1,0.0528,0.261,2.77E-04,0.202,0.906,120.645,Queen,en,8
44388,02M6vucOvmRfMxTXDUwRXu,71,2UsEj2GUukV0GLbsE3rldz,pop,0.747,0.705,9,-5.137,0,0.126,0.0128,0,0.126,0.56,136.024,BeyoncÃ©,en,1
Getting Away With Murder,02MjAy2BTPTdqO19O5VtHO,38,64BvJcehegyvhqQtV82Ddz,rock,0.557,0.959,1,-4.632,1,0.0547,1.13E-04,8.04E-05,0.233,0.331,103.887,Papa Roach,en,7
Smile - Years Remix,02mJtllR8CoskckLlrirNV,14,5PCAWKfUWAUj8VeY8G7xRQ,edm,0.584,0.767,0,-8.387,1,0.0409,8.82E-05,0.557,0.0314,0.101,128.012,Galantis,en,5
My Nigga,02pf9lLM8Nb8l4u4ts1GWb,69,6rjxP7GQKoqqgoakzxl3PY,pop,0.673,0.464,10,-6.864,0,0.201,0.0933,0,0.21,0.762,171.043,YG,en,1
Don't Look Down (feat. Blake Young),02PiwfcW4LuKxhDi3JfH01,42,0MhTMIo1bgH6zzPh7BdChT,edm,0.748,0.713,0,-5.444,1,0.149,0.0426,1.73E-06,0.149,0.87,149.927,CASS,en,1
Unity,02q7qbOYbE89NMFEtOklcc,66,5GiPRvTccToqwOzkoAcDrY,edm,0.65,0.912,10,-4.588,0,0.0406,0.0241,0.8,0.293,0.191,129.999,Dimitri Vegas & Like Mike,en,1
pete davidson,02Qo5DFgoGTiBGo4ZUvjXm,36,2Aud8PXoTGcyY5esHu4Aaz,pop,0.654,0.312,4,-10.212,1,0.0508,0.429,8.59E-06,0.19,0.304,119.9,Ariana Grande,en,6
This Is How We Party (with Icona Pop),02rbSCTm2smTIZ6d8im2NP,60,0FCHg9zJMNNiOokh3hVcxd,edm,0.802,0.803,4,-5.428,1,0.153,0.0572,1.06E-06,0.269,0.339,118.997,R3HAB,en,1
Tokyo,02SUyCzxfqllXeEUqVNMVv,46,48AzM7l4M02DBYd2N3IFLP,r&b,0.616,0.624,4,-9.128,0,0.0358,0.306,0.0144,0.379,0.304,87.99,Lianne La Havas,en,5
Corduroy Dreams,02tvc9CFnTyHuSRlGeNv9w,75,1E5VdGGWkpDQ682gdvJAZH,pop,0.61,0.305,4,-14.037,1,0.053,0.653,0,0.103,0.222,113.818,Rex Orange County,en,5
Hit That Jive,02uRToy7bttYcKCO3vIStA,55,3Dr4NKbsFQ2m7tmPxGRroO,edm,0.896,0.684,1,-6.099,1,0.0731,0.0461,0.051,0.164,0.686,99.995,Gramatik,en,1
Nobody (feat. Athena Cage) - Single Version; 2007 Remaster,02UYYPOGSBXxGEMce927XV,45,3a9y4eeCJRmG9p4YKfqYIx,r&b,0.712,0.511,9,-8.753,0,0.0297,0.397,0,0.483,0.412,117.896,Keith Sweat,en,
Go to Hell,02WVK9TPtjSOcmy9cDkd5D,38,6pZlZ20vt3aDjIKw98aBtQ,rock,0.374,0.663,11,-13.454,1,0.117,0.00559,0.00976,0.357,0.519,166.112,Alice Cooper,en,4
Paparazzi,02XnQdf7sipaKBBHixz3Zp,69,1CMvQ4Yr5DlYvYzI0Vc2UE,pop,0.762,0.692,5,-3.973,0,0.0438,0.113,0,0.094,0.397,114.906,Lady Gaga,en,5
Jet Airliner - Remastered 2017,02Y5MRZD7AsElSRxsQtQzw,33,7CESj1xKbxdArRzloygvkl,rock,0.511,0.857,0,-7.54,1,0.0402,0.0818,0,0.473,0.722,121.516,Steve Miller Band,en,1
Say It,02Yq8TMuecXONAjkORNJNM,57,5aPwKjwNHr6dnCejLcPTVx,rap,0.59,0.531,3,-6.828,0,0.0326,0.0704,3.01E-06,0.0623,0.266,75.114,Flume,en,6
Faith - Radio Edit,0363w3IUcO4cJMsAFLpfLY,0,5BqOZpVEqRDfZScvW1QUyA,edm,0.672,0.692,9,-6.566,0,0.0486,0.00636,0.00231,0.187,0.67,128.009,Blasterjaxx,en,1
Chloe (You're the One I Want),036GQb6SETOJJG8BxJTNxc,51,222nc9tKxKhfZ2GBrOpwH3,pop,0.71,0.925,0,-3.329,1,0.0359,0.039,0,0.127,0.93,118.024,Emblem3,en,1
Save My Night - BlasterJaxx Remix,037yW9RzsLze4OmBYmcH4G,16,6KnQDwp0syvhfHOR4lWP7x,edm,0.686,0.906,8,-4.886,1,0.0475,0.00196,0.745,0.052,0.165,129.972,Armin van Buuren,en,1
Where I Won't Be Found,038k4V2bjaAQsfpYV7V9WP,37,5EgzhnSirHRvu1AqlFLllv,edm,0.568,0.767,0,-3.634,1,0.0461,0.0919,0,0.3,0.275,129.931,Seven Lions,en,5
She Don't Give a Fo,03a359wbiUsjN9h6yzXvmS,71,37i9dQZF1DX0JcH25923HT,rap,0.854,0.556,1,-4.49,1,0.14,0.345,0,0.165,0.342,119.938,Duki,es,2
Go Getta,03b1NUHnoavfpLLKcEMfIb,50,4lcyWQDOzPfcbZrcBI3FOW,rap,0.397,0.74,3,-6.584,0,0.143,0.105,0,0.15,0.431,174.039,Jeezy,en,7
Payback - Original Mix,03bF2V5oDkhYDrMY6m7ZLB,25,5BqOZpVEqRDfZScvW1QUyA,edm,0.264,0.981,6,-2.909,0,0.0526,8.73E-04,0.384,0.112,0.23,127.87,Sandro Silva,NA,1
melancholyism.,03ejfFAbwrrANbH4fZzF0W,46,5qFXOOxrQVyS4UCq3UilZN,pop,0.44,0.652,0,-6.201,0,0.079,0.0357,1.36E-04,0.0587,0.5,93.353,Super Whatevr,en,5
Slow Motion,03GzYByXsXHcoEAxjsWv9G,21,1dsaMvnC1hXPCNGC4aVtjj,r&b,0.783,0.885,6,-7.747,0,0.0648,0.00531,0.752,0.0435,0.941,92.042,Color Me Badd,en,1
In Between,03jdl5GTBhKsgB1Yw8mVPh,64,4TG1lzMD9HFvZ9E1Bk6Gnu,rock,0.462,0.972,7,-2.642,0,0.138,0.00285,0,0.666,0.449,128.092,Beartooth,en,5
BARRACA (feat. MC Pikachu),03L9G5TQGdhASEknspRIZQ,50,73uj4YmsC7SJ6SbUMTvf07,edm,0.708,0.984,5,-1.262,0,0.0747,0.2,0.38,0.351,0.929,128.031,Garmiani,NA,1
Watch Me Dance,03LhreaNy6FWQxSxTX9u9H,37,07SNJ4MwYba9wwmzrbjmYi,r&b,0.771,0.29,10,-13.413,0,0.0341,0.323,0.0316,0.0645,0.192,118.003,Tom Misch,en,5
Baila Conmigo,03nYlT73VrrZdiw3ZaTuti,53,37i9dQZF1DXco4ODkIraMD,latin,0.884,0.348,0,-9.248,1,0.145,0.384,9.92E-06,0.0973,0.563,90.023,Manuel Turizo,es,5
California,03PpdID0NKPVUrRtHybsE1,11,206vi9Q0p3juAU73flxPsz,rap,0.917,0.745,2,-3.012,0,0.266,0.0967,0,0.0839,0.759,98.927,DJ Quik,en,8
Switch,03ShCBJrWXSp3vogMeCIxz,54,7eERKCkgNKCCx5GYdeMIZf,pop,0.768,0.676,11,-6.252,1,0.138,0.174,2.10E-04,0.152,0.61,109.96,Afrojack,en,3
Stranger,03sno6MIkoVX5eC4pRKMzr,49,5qFXOOxrQVyS4UCq3UilZN,pop,0.603,0.688,8,-5.515,1,0.0358,0.0117,0.75,0.0941,0.561,94.991,MOTHXR,en,3
How Ya Like Me Now - Longer Version,03SrVtN1UcstvinRAjrfff,19,4nX6BscFtR1CozSCfv2cuR,r&b,0.873,0.859,1,-9.225,1,0.105,0.00369,9.73E-04,0.0933,0.542,104.196,Kool Moe Dee,en,7
Hoops - Acoustic,03taJRQ6nyzYWac6HDysMh,47,1nFfDHtp8RY3obgen8KODl,r&b,0.74,0.198,11,-6.787,0,0.033,0.884,0,0.107,0.19,120.032,JONES,en,3
