track_name,track_id,track_artist,playlist_id,track_popularity,loudness,instrumentalness,key,speechiness,acousticness,danceability,liveness,tempo,energy,valence,emotion
Latina (feat. Maluma),00Ia46AgCNfnXjzgH8PIKH,Reykon,2kKzN3kRYDzBctlaWs7CP2,74,-4.017,0,9,0.129,0.0748,0.826,0.331,102.071,0.713,0.75,6
Let Me Entertain You - Remastered 2011,00ITtxUozN0vifE2uYvtqn,Queen,3E88dLx4fgFYY70gdGzdnB,41,-4.826,0.00105,11,0.197,0.0164,0.521,0.737,104.708,0.902,0.592,7
Suga Suga,00LfFm08VWeZwB0Zlm24AT,Baby Bash,0Ar0Ng9DlAWZtSPBvOQgOa,8,-3.041,8.43E-06,5,0.268,0.688,0.662,0.0841,82.331,0.748,0.535,6
You Don't Know Me - Radio Edit,00lNx0OcTJrS3MKHcB80HY,Jax Jones,1CMvQ4Yr5DlYvYzI0Vc2UE,14,-6.054,0,11,0.138,0.163,0.876,0.185,124.007,0.669,0.682,1
Secrets,00NAQYOP4AmWR549nnYJZu,The Weeknd,4Pbs84EQbuAblxlp6Chz0d,71,-5.779,9.60E-06,0,0.0533,0.0155,0.665,0.46,109.945,0.771,0.764,3
Me Enamor̩,00nvL9u5K8jEJ6TSxGdtPK,Jay Wheeler,37i9dQZF1DX8womvTyUjrN,62,-7.555,0.00104,11,0.0439,0.968,0.495,0.118,179.74,0.357,0.456,5
"Stand Out - From ""How to Build a Better Boy""",00OKDIsSQbx8rd5Al7fKNw,Sabrina Carpenter,6IT8LGpwLw3Pt2XnVUBN7j,33,-2.892,9.33E-05,7,0.0665,0.00792,0.414,0.0488,96.044,0.806,0.77,1
Laps,00p85inzGeXRXgqDVn7Ftq,Zotiyac,4sGnz2x5tbHE2YlW1nemfb,36,-9.965,0,8,0.318,0.0039,0.756,0.632,140.132,0.453,0.114,10
Get The Funk Out Ma Face,00PLtXXER1XcTRZvs3LioS,The Brothers Johnson,1S7BckuYIkEazeNKOSM0uA,49,-13.145,0.0388,2,0.0821,0.292,0.88,0.0674,106.035,0.57,0.791,1
Ooh,00ppj2gGs8oxhGnTdejkzD,SAYMYNAME,37i9dQZF1DX1OIMC8iDi74,39,-1.787,0.163,4,0.0548,0.0147,0.59,0.12,148.167,0.965,0.386,3
La Vida Es Una (feat. Pitbull),00PXizG9xlUNINeqADlh96,Lil Jon,3hR2R6szlkwZeGyclTgHcF,32,-3.661,0,9,0.211,0.00409,0.742,0.215,126.04,0.921,0.604,1
Juke Box Hero,00qOE7OjRl0BpYiCiweZB2,Foreigner,6jAPdgY9XmxC9cgkXAVmVv,67,-5.554,0,9,0.0654,0.0828,0.357,0.0844,176.647,0.653,0.522,4
We Own It (Fast & Furious),00QyLmjxaSEE8qIZQjBXBj,2 Chainz,1Z1gW89x4MSBjkvVjGg7DQ,59,-4.573,0,8,0.408,0.0521,0.554,0.0568,171.966,0.899,0.552,7
Ain't No Future In Yo' Frontin',00ReeHCY0FQUyuAUyPJdnk,MC Breed,0VVH2Nzj6kBVGK3WIUQMAw,48,-9.644,0,0,0.248,0.0514,0.672,0.474,102.192,0.761,0.731,4
La rebelion,00Ro1lnV3V6i87aY4t8Q43,Joe Arroyo,37i9dQZF1DWYey22ryYM8U,68,-7.907,2.55E-05,1,0.0735,0.142,0.571,0.136,107.951,0.755,0.875,1
It's You - Radio Edit,00S35gEf40z03JTJgvQMqi,Syn Cole,0cuHKz65ZPqBX1brG8djlg,51,-4.164,1.04E-05,10,0.0523,0.11,0.646,0.134,127.957,0.831,0.486,5
Bongo Bong,00SmB7n85SKROGjybsyq5i,Manu Chao,2v41efarffe6iY8qpMK5Gj,66,-10.027,1.18E-04,9,0.0646,0.944,0.755,0.144,149.807,0.545,0.964,6
It Won't Stop (feat. Chris Brown) - Julian Calor Remix,00UpV14MDfk4CvrMbFvqji,Sevyn Streeter,6jI1gFr6ANFtT8MmTvA2Ux,0,-5.525,0.00305,6,0.0478,0.00939,0.627,0.115,128.025,0.832,0.216,6
Full Moon,00vHOSgvVfyLzhlTZIJo1m,DREAMCATCHER,37i9dQZF1DWUXxc8Mc6MmJ,49,-2.112,0,7,0.113,0.186,0.589,0.381,94.964,0.945,0.248,1
